"","Concerned.with.homicide.investigations","Concerned.with.treatment.of.juveniles","Concerned.with.response.time","Concerned.with.human.rights","Concerned.with.crime.victim","Concerned.other","If.monitor.bad.apples","If.monitor.help.public","If.monitor.help.leadership","If.monitor.communicate.success","If.monitor.other"
"217","","","Response time","Civil and human rights violations","Treatment of crime victims","","","","Helping NOPD leadership see and correct problems","",""
"218","","","","","","","","","","",""
"219","Homicide investigations","","","","","","","","","",""
"220","","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","","","","",""
"221","","","","","","they are never ontime","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"222","Homicide investigations","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"223","","","","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"224","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"225","Homicide investigations","","","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"226","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"227","Homicide investigations","","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"228","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","others who arent apart of NOPD","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes","admitting their wrong "
"229","Homicide investigations","","Response time","Civil and human rights violations","Treatment of crime victims","","","","Helping NOPD leadership see and correct problems","",""
"230","","Treatment of juveniles","Response time","Civil and human rights violations","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"231","Homicide investigations","Treatment of juveniles","Response time","","Treatment of crime victims","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"232","","","","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"233","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","Telling the public about all NOPD’s successes and mistakes",""
"234","Homicide investigations","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"235","","","","","","CORRUPTING KILLING POOR PEOPLE, HOMELESS, MENTALLY ILL AND MINORITIES ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"236","Homicide investigations","","","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"237","Homicide investigations","Treatment of juveniles","","Civil and human rights violations","","","","","","",""
"238","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"239","Homicide investigations","","Response time","","Treatment of crime victims","NEEDING MORE POLICE FORCE","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"240","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","","","","","educate on how to communicate with others and diffuse situations . eduacate them on good patrol, leading by example, "
"241","","","","","","training on how to handle the teenagers","","","","","areas to patrol"
"242","Homicide investigations","Treatment of juveniles","","Civil and human rights violations","","","","","","",""
"243","","","Response time","","","","","","","",""
"244","Homicide investigations","","Response time","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"245","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","EVERYTHING ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"246","","","Response time","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"247","","","","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"248","","","","Civil and human rights violations","","","","","","",""
"249","Homicide investigations","","","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"250","","","","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"251","","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"252","Homicide investigations","","","","","","","","","",""
"253","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"254","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"255","","","Response time","","Treatment of crime victims","","","","","Telling the public about all NOPD’s successes and mistakes",""
"256","Homicide investigations","","Response time","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"257","","Treatment of juveniles","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"258","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"259","","","","","","lack of training of officers ","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"260","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"261","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","Telling the public about all NOPD’s successes and mistakes",""
"262","","","","","Treatment of crime victims","","","","","","response "
"263","","","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"264","","","Response time","","","","","","","",""
"265","Homicide investigations","","","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"266","","","","","","I don't have a need for the police at all i don't trust them ","","","","","Id never be a cop ever"
"267","","","Response time","","","","","","","",""
"268","","","","","","Rasism ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"269","","","","","","It's very and treatment of black people especially black males ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"270","","","Response time","","","timely investigations","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"271","","","","","","","","","","",""
"272","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"273","Homicide investigations","","Response time","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"274","Homicide investigations","","","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","Telling the public about all NOPD’s successes and mistakes",""
"275","","","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"276","Homicide investigations","Treatment of juveniles","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"277","","","Response time","","","","","","","Telling the public about all NOPD’s successes and mistakes",""
"278","","","","","Treatment of crime victims","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"279","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"280","","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"281","","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"282","Homicide investigations","Treatment of juveniles","","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"283","","","Response time","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"284","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","All of the Above","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"285","","Treatment of juveniles","","Civil and human rights violations","Treatment of crime victims","The wardens and the officers I the prisons and jail think that just because they are criminals they shouldn't be treated with respect or like a regular person but I strongly disagree. Just because they have committed a crime doesn't mean that they should be treated the way that they treat them. They take advantage of the authority that they have and just do the wrongs things to these men or women. This isn't all the officers or guards but it's quite a few and this really bothers me because my father is prison and I feel and know that justice isn't being done in there.","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes","Let the people know that they are safe and justice is always done."
"286","","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","Police brutallity","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","","Viewing everything that the police do to make sure that they are following the rules."
"287","","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","shooting when unnecessary and in the wrong places","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","Telling the public about all NOPD’s successes and mistakes","talking to schools and having better communication with the community."
"288","","","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"289","Homicide investigations","","","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","Telling the public about all NOPD’s successes and mistakes",""
"290","Homicide investigations","","","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"291","Homicide investigations","Treatment of juveniles","Response time","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","Telling the public about all NOPD’s successes and mistakes",""
"292","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"293","","","Response time","","","","","","Helping NOPD leadership see and correct problems","",""
"294","","Treatment of juveniles","Response time","Civil and human rights violations","","if i get pulled over, being ""mistakenly shot""","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"295","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"296","","Treatment of juveniles","Response time","Civil and human rights violations","","if i get pulled over, being ""mistakenly shot""","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"297","Homicide investigations","Treatment of juveniles","","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","Telling the public about all NOPD’s successes and mistakes",""
"298","","Treatment of juveniles","Response time","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"299","","","Response time","","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"300","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","The mayor & the police chief have my opinion for black people. The police see others sell drugs and they turn the other way. It's obvious the majority of New Orleans murders are drug related.","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"301","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","ALL those things. If I had to pick one, I couldn't. I fear for the safety of my people, as well as the treatment of those of us who have made mistakes.","","","Helping NOPD leadership see and correct problems","","Specifically assisting the department in adopting anti racist and anti sexist policies and practices, as well as making sure these practices are being implemented with review processes. Requiring trainings, etc. to improve officer/community relations."
"302","","","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"303","","","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"304","","Treatment of juveniles","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","Telling the public about all NOPD’s successes and mistakes",""
"305","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims"," Keeping citizens Anonymous ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"306","","","","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"307","","","Response time","","","In new orleans EAST!! Police don't respond to anything!  Truly a shame. It's a 2day response time.","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"308","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","","","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"309","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","Use of their fire arm on victims or suspects, aiming to kill instead of aiming to injure to bring the person to a halt.","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes","Knowing the people not just being an officer. Bring Freedom Justice and Equality to our neighborhoods people and land."
"310","","Treatment of juveniles","","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"311","","","","","","Corruption and abuse","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"312","","Treatment of juveniles","","Civil and human rights violations","","No comment","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"313","","","Response time","","Treatment of crime victims","misidentification. ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"314","Homicide investigations","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","",""
"315","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"316","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"317","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"318","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"319","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"320","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"321","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"322","Homicide investigations","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"323","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"324","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"325","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","not patrolling my area enough ","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"326","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"327","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"328","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"329","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"330","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"331","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"332","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"333","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"334","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"335","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"336","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"337","","Treatment of juveniles","Response time","Civil and human rights violations","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"338","Homicide investigations","Treatment of juveniles","","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"339","","Treatment of juveniles","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"340","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"341","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"342","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"343","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"344","","Treatment of juveniles","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"345","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"346","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"347","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"348","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"349","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"350","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"351","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","Telling the public about all NOPD’s successes and mistakes",""
"352","Homicide investigations","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"353","","","Response time","","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","","","",""
"354","Homicide investigations","Treatment of juveniles","Response time","Civil and human rights violations","Treatment of crime victims","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"355","Homicide investigations","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","Helping NOPD leadership see and correct problems","",""
"356","Homicide investigations","","Response time","Civil and human rights violations","","","Cleaning out the “bad apples” and making sure NOPD officers are punished for wrongdoing","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
"357","Homicide investigations","","","","","","","Helping the public understand NOPD better and identifying areas where NOPD could improve","","",""
